neighborhood,unsafe_streets_not_problem,unsafe_streets_minor_moderate_problem,unsafe_streets_very_serious_problem,vandalism_not_problem,vandalism_minor_moderate_problem,vandalism_very_serious_problem,rats_not_problem,rats_minor_moderate_problem,rats_very_serious_problem,burglary_streets_not_problem,burglary_minor_moderate_problem,burglary_very_serious_problem,poor_roads_not_problem,poor_roads_minor_moderate_problem,poor_roads_very_serious_problem,trash_not_problem,trash_minor_moderate_problem,trash_very_serious_problem,vacant_buildings_not_problem,vacant_buildings_minor_moderate_problem,vacant_buildings_very_serious_problem,undesirable_peoplenot_problem,undesirable_people_minor_moderate_problem,undesirable_people_very_serious_problem,stray_dogs_not_problem,stray_dogs_minor_moderate_problem,stray_dogs_very_serious_problem,dog_litter_not_problem,dog_litter_minor_moderate_problem,dog_litter_very_serious_problem
All neighborhoods,25,45,21,13,49,28,34,33,12,14,44,29,17,41,33,27,41,24,49,24,13,42,28,15,25,38,18,21,38,32
Westwood,48,34,7,16,63,14,43,29,10,18,60,8,7,34,52,32,41,18,73,10,1,60,15,6,25,41,30,22,38,33
31st ward,53,20,13,47,40,0,27,40,20,60,27,7,13,33,47,40,40,13,67,7,20,60,27,0,33,27,27,33,33,13
Arlington,17,53,18,8,41,35,29,40,14,17,42,24,7,46,37,23,39,29,41,37,7,36,32,17,16,39,32,17,32,38
Allegheny Center,16,33,41,10,35,43,33,16,18,10,29,43,37,39,18,27,29,37,33,22,29,27,31,27,29,41,12,33,37,10
Allegheny West,20,40,27,13,51,27,20,47,27,7,27,33,20,33,33,13,47,27,13,33,27,20,27,47,7,40,40,7,33,47
Allentown,10,47,34,8,45,35,33,36,8,17,41,24,6,19,66,19,39,32,21,33,38,32,28,24,13,36,24,15,34,42
Banksville-Greentree,52,26,18,31,50,12,60,23,3,21,41,17,23,35,39,58,31,7,84,8,0,72,16,3,53,31,13,46,35,16
Beechview,33,47,12,14,54,24,29,39,14,23,45,17,8,22,66,26,43,28,62,21,2,51,29,6,24,38,32,20,40,33
Beltzhoover,6,43,39,3,37,51,8,29,39,3,32,55,10,42,34,9,33,49,10,32,41,13,27,43,5,29,60,6,27,55
Bloomfield,15,50,27,10,55,25,40,26,8,10,54,22,18,46,25,23,47,22,42,31,10,36,34,13,30,37,20,20,37,33
Bon Air,28,62,3,17,59,14,45,21,7,17,48,14,28,62,7,41,52,3,72,17,0,59,28,3,17,45,34,17,52,28
Brighton Heights,33,52,4,13,67,11,46,33,5,15,55,14,12,32,37,41,43,10,70,18,2,47,35,7,28,45,21,23,47,24
Brookline,32,50,10,12,52,27,37,41,9,18,47,22,15,45,33,37,41,18,72,14,1,59,24,6,29,41,23,27,39,27
Carrick,41,46,4,18,60,16,34,42,6,21,54,11,15,47,31,27,47,20,64,22,3,54,26,4,29,44,22,25,43,25
Central North Side,8,40,38,9,34,54,9,33,33,9,26,44,18,38,27,7,23,48,8,31,44,22,26,25,10,39,29,13,31,33
Chartiers City,35,47,12,29,59,6,47,41,0,24,53,12,24,65,6,41,41,18,94,6,0,47,47,6,29,35,35,35,24,41
City View,16,25,42,8,42,50,33,42,17,25,33,33,8,17,67,17,42,33,58,17,17,58,17,8,50,25,17,33,33,25
Crafton Heights,45,42,4,21,56,17,51,27,3,29,49,8,21,40,33,48,31,18,75,12,2,57,23,8,23,44,29,23,40,33
Downtown,16,49,33,17,37,18,47,14,5,20,38,19,33,33,22,34,37,17,43,28,13,47,22,9,59,16,5,51,22,9
Duquesne Heights,34,52,4,14,68,12,32,46,4,28,46,16,14,46,32,28,48,20,54,28,12,50,34,6,26,46,26,22,38,32
East Hills,31,35,21,13,42,31,33,33,13,6,35,38,29,33,25,27,44,17,58,17,2,25,25,27,17,36,38,21,42,23
East Liberty,11,35,46,4,35,49,34,28,9,5,34,50,30,33,23,27,37,26,40,28,10,22,31,29,33,30,24,28,33,28
East Liberty: Larimer Area,14,36,40,12,34,32,19,34,19,16,33,26,18,36,23,14,36,41,19,30,28,20,28,25,12,30,39,14,29,35
East Liberty: Lincoln-Lemington,13,44,33,13,43,27,21,38,17,9,36,36,20,44,23,16,46,30,28,32,22,21,32,25,7,31,49,7,38,39
East Street Valley,22,33,33,22,22,33,11,11,67,33,33,22,0,33,67,0,44,56,11,44,44,33,22,33,0,33,67,11,44,44
Elliott,22,59,9,8,46,40,45,30,6,14,51,27,23,45,26,26,42,27,33,41,18,27,42,21,19,35,41,18,44,28
Esplen,19,38,33,0,57,33,24,33,19,10,48,43,19,19,57,19,48,29,33,33,19,10,24,43,5,48,38,43,52,0
Fineview,50,32,9,16,43,18,27,30,18,30,27,9,23,45,21,32,27,32,46,30,9,34,32,14,21,32,41,23,39,27
Garfield,6,29,59,6,25,60,17,39,17,5,28,54,32,37,18,14,32,44,22,28,36,17,31,33,15,36,39,14,33,41
Greenfield,37,47,8,18,57,19,29,46,12,18,48,24,20,37,35,31,49,15,60,24,4,53,31,4,28,37,26,26,37,29
Hazelwood,13,31,43,7,41,42,21,37,25,17,40,27,11,34,44,17,35,36,20,17,49,29,28,24,15,32,42,17,31,41
Glen Hazel Heights,14,57,29,29,43,29,0,86,14,14,43,43,0,29,71,0,43,43,29,29,29,71,14,0,0,43,57,0,71,29
Highland Park,24,59,12,12,59,22,58,17,7,10,50,33,31,45,18,46,38,12,71,17,2,43,35,11,31,46,19,21,44,30
Hill,16,38,33,15,31,34,17,38,30,14,31,40,17,35,27,13,28,46,22,27,33,28,28,22,12,30,44,12,30,40
Homewood - Brushton,8,21,58,6,25,52,13,31,40,7,23,56,10,32,43,12,27,50,14,21,51,18,25,33,11,28,50,10,29,48
Ivory Avenue District,61,22,11,39,50,8,58,31,6,39,53,6,14,20,64,47,42,8,81,8,3,61,14,10,42,42,11,36,50,8
Knoxville,14,56,21,6,50,36,34,35,8,16,50,20,15,38,37,26,38,26,40,31,12,38,22,21,17,42,31,17,41,35
Lawrenceville,24,52,14,13,50,26,38,33,10,17,50,20,19,47,24,31,44,20,33,35,21,39,35,10,22,47,24,17,42,35
Manchester,10,25,39,5,26,48,8,21,43,8,23,43,15,38,23,10,20,54,7,8,71,20,20,26,16,30,39,16,28,33
Morningside,27,53,10,10,45,35,31,37,16,15,46,31,23,51,20,36,47,13,72,17,1,51,31,6,20,44,30,19,42,36
Mt. Washington,22,52,16,8,54,31,32,33,11,12,50,24,11,41,39,24,45,24,43,32,11,41,32,13,22,37,35,18,39,35
North Side: California-Kirkbride Area,11,37,42,0,37,63,11,32,47,5,37,58,21,32,42,11,21,68,5,11,74,37,11,42,21,26,47,16,26,47
North Side: East North Side Area,15,42,28,10,44,33,25,33,20,21,40,19,21,34,28,25,28,35,26,33,26,29,29,27,32,30,24,24,25,36
North Side: Marshall-Shadeland Area ,34,45,12,11,59,23,42,34,8,12,58,26,21,43,28,31,42,24,50,33,7,45,37,12,24,45,29,21,44,30
North Side: North Shore Area,40,40,0,60,20,0,0,60,40,450,40,0,60,20,0,0,80,20,20,20,60,40,20,20,80,20,0,60,20,0
North Side: Perry Hilltop-Perrysville Avenue Area,16,38,37,9,42,39,28,37,14,11,39,36,13,32,43,18,41,33,41,30,13,27,29,31,21,34,35,18,38,35
North Side: Pleasant Valley Area,40,40,10,20,50,20,20,30,40,30,30,30,50,30,10,40,40,20,30,10,40,30,30,30,20,20,40,40,30,10
North Side: Summer Hill Area,42,23,27,23,42,27,42,23,15,19,31,31,4,35,58,46,42,12,69,8,8,27,27,23,39,38,19,35,35,23
Northview Heights,15,42,23,4,15,69,15,23,50,8,8,69,46,19,0,12,19,54,12,42,15,12,15,42,12,23,50,4,35,42
Oakland,14,44,35,11,45,31,29,31,15,11,36,42,18,35,37,22,33,37,41,34,11,37,25,19,29,35,22,24,32,31
Oakwood,41,45,3,17,72,3,41,28,0,14,52,17,17,31,48,31,66,0,90,7,0,69,17,0,45,41,7,66,28,3
Overbrook,48,41,2,20,65,8,28,47,14,19,55,11,15,42,35,33,49,15,68,15,1,59,23,4,30,44,22,29,42,25
Polish Hill,37,45,10,18,58,15,22,47,20,15,53,17,22,53,17,27,45,20,23,35,32,37,27,23,33,37,22,20,48,23
Regent Square and Frick Park - Regent Square,32,42,20,17,61,17,63,17,2,12,61,20,32,42,17,37,39,17,73,15,0,56,24,7,29,37,24,12,42,32
Shadyside,13,52,28,11,53,26,44,23,4,3,41,45,15,47,32,26,49,18,54,27,3,42,28,11,32,41,13,19,38,36
Sheraden,35,52,9,15,57,22,40,35,7,18,51,22,18,44,32,32,44,19,51,31,8,45,33,12,25,45,24,24,41,29
Soho,0,50,33,0,33,67,0,33,67,0,17,83,17,50,33,33,0,67,33,17,50,17,67,0,17,67,17,0,67,33
South Side,25,52,13,24,45,21,29,40,13,32,42,9,12,38,41,28,39,27,35,37,17,39,33,15,25,39,28,20,38,34
Spring Garden,27,49,20,15,42,42,37,44,7,22,42,15,20,46,29,27,37,29,37,24,34,37,22,24,27,42,24,27,37,29
Spring Hill,14,51,26,12,39,36,39,28,13,13,44,27,10,42,37,22,43,29,49,26,6,29,32,25,30,28,31,27,28,36
Squirrel Hill,29,54,11,16,59,17,39,34,8,7,46,40,13,48,33,28,51,15,69,18,2,61,23,5,37,40,15,21,42,31
St Clair Village,5,29,57,5,10,71,5,14,81,5,14,76,29,14,43,10,10,76,19,5,67,10,10,62,5,14,67,10,10,62
Mt Oliver,9,32,55,14,36,50,27,32,23,14,27,59,14,32,50,27,55,18,86,9,0,50,23,18,23,41,36,23,41,36
Stanton Heights,43,42,9,12,55,25,55,25,3,5,57,30,27,58,12,49,35,10,77,11,5,48,22,15,29,41,25,18,48,32
Strip District,40,40,10,30,20,20,30,20,40,20,40,20,20,20,30,30,30,20,10,40,10,40,10,10,20,50,20,40,30,20
Swisshlem Park,36,49,7,12,39,42,41,34,12,9,56,22,29,39,26,37,37,20,64,15,9,63,14,9,32,41,20,34,29,26
Troy Hill,41,47,5,18,61,13,53,31,1,30,50,4,20,57,15,31,55,8,57,32,5,43,23,10,32,42,15,25,45,23
Uptown,12,24,56,6,24,56,32,29,21,15,29,47,35,29,27,24,32,35,15,21,53,21,24,24,24,29,41,27,32,35
West End,24,43,19,10,48,29,19,29,10,19,43,14,5,38,48,24,52,19,29,38,14,29,33,19,24,38,29,24,29,29
Woods Run-Halls Grove,16,67,11,11,73,11,31,36,20,16,69,5,11,49,36,15,64,16,55,27,7,42,44,5,26,42,27,22,47,24
